Employee_ID,First Name,Last Name,Gender,State,City,Education Level,Birthdate,Hiredate,Termdate,Department,Job Title,Salary,Performance Rating
00-85345555,Linda,Morales,Male,New York,New York City,Bachelor,20/04/1993,26/01/2020,9/4/2021,Sales,Sales Specialist,"$71,110.00",Needs Improvement
00-67503414,Jason,Hahn,Male,Ohio,Cleveland,Bachelor,25/01/1978,7/12/2017,4/6/2018,IT,System Administrator,"$84,205.00",Excellent
00-39436733,Jennifer,Lewis,Male,New York,New York City,Master,18/09/1982,12/7/2018,8/1/2019,Sales,Sales Specialist,"$67,953.00",Good
00-76238574,Randall,Rocha,Male,New York,New York City,High School,25/09/1960,27/06/2016,10/5/2021,IT,IT Support Specialist,"$58,445.00",Needs Improvement
00-24716857,Douglas,Taylor,Female,New York,New York City,Bachelor,17/07/1992,17/10/2017,16/11/2021,Customer Service,Customer Service Representative,"$58,697.00",Satisfactory
00-66661351,Anna,Baker,Male,New York,New York City,PhD,12/5/1970,15/08/2020,17/11/2022,Sales,Sales Specialist,"$77,156.00",Excellent
00-89978790,Ross,Silva,Female,New York,New York City,Bachelor,29/11/2002,20/05/2024,16/11/2024,Sales,Sales Specialist,"$81,038.00",Excellent
00-84252722,Jeffrey,Bright,Male,New York,New York City,Bachelor,21/05/1980,17/07/2017,13/01/2018,Finance,Accounts Payable Specialist,"$71,339.00",Satisfactory
00-25374874,Trevor,Campos,Male,New York,New York City,Master,19/02/1983,1/12/2022,30/05/2023,Operations,Operations Analyst,"$81,316.00",Excellent
00-45812670,Daniel,Burton,Female,New York,New York City,Bachelor,23/06/2001,4/11/2022,14/02/2024,IT,Software Developer,"$96,947.00",Excellent
00-49392920,Erin,Carlson,Male,New York,New York City,Bachelor,20/03/1984,30/05/2019,29/04/2021,Operations,Logistics Coordinator,"$67,437.00",Excellent
00-45351479,Patrick,Ferrell,Female,Michigan,Detroit,PhD,20/05/1969,24/07/2018,20/01/2019,Sales,Sales Consultant,"$116,328.00",Excellent
00-24282218,John,Tran,Male,Virginia,Norfolk,Bachelor,15/01/1972,5/1/2017,25/01/2018,Operations,Logistics Coordinator,"$67,630.00",Satisfactory
00-95758349,Erin,Wilson,Female,New York,New York City,Bachelor,15/08/1981,9/12/2020,11/12/2021,Operations,Logistics Coordinator,"$53,898.00",Good
00-60185867,Amanda,Adams,Female,New York,New York City,Bachelor,10/11/2003,6/9/2022,5/3/2023,Sales,Sales Specialist,"$61,534.00",Good
00-81182864,Matthew,Carter,Male,New York,New York City,High School,26/11/1979,2/3/2024,19/09/2024,Marketing,SEO Specialist,"$78,184.00",Needs Improvement
00-75579548,Shawn,Mckay,Female,New York,New York City,Bachelor,18/04/1980,7/12/2015,13/03/2023,Operations,Inventory Specialist,"$56,559.00",Good
00-51273847,Jennifer,Stanton,Male,New York,New York City,Bachelor,9/12/1959,23/10/2017,2/12/2018,Customer Service,Support Specialist,"$68,635.00",Satisfactory
00-20570592,Guy,Gaines,Male,New York,New York City,Bachelor,15/10/2002,4/12/2016,,Sales,Sales Representative,"$80,367.00",Satisfactory
00-19289546,Colleen,Skinner,Female,New York,New York City,Bachelor,1/12/1981,16/07/2018,12/1/2019,Operations,Inventory Specialist,"$63,169.00",Good
00-26879290,Chelsea,Hernandez,Female,Pennsylvania,Philadelphia,Master,19/10/1982,23/10/2016,5/6/2019,Sales,Sales Consultant,"$71,142.00",Good
00-32162965,Evan,Ashley,Male,New York,New York City,High School,16/09/1983,25/12/2017,7/12/2018,Operations,Inventory Specialist,"$58,830.00",Needs Improvement
00-38427073,Alyssa,Smith,Female,Michigan,Grand Rapids,Bachelor,24/04/1970,5/5/2024,1/11/2024,Customer Service,Customer Service Representative,"$66,218.00",Satisfactory
00-36998038,Tracy,Rodriguez,Female,New York,New York City,High School,7/11/1979,21/05/2022,17/11/2022,Marketing,SEO Specialist,"$88,887.00",Needs Improvement
00-97225156,Natasha,Decker,Male,New York,New York City,PhD,5/8/1959,30/04/2018,16/11/2023,Sales,Sales Consultant,"$72,859.00",Excellent
00-26240908,John,Allen,Male,New York,New York City,Bachelor,15/01/1985,9/8/2017,5/2/2018,Operations,Logistics Coordinator,"$67,630.00",Excellent
00-12823170,Stacey,Miller,Male,New York,New York City,Bachelor,21/06/1991,7/7/2020,14/12/2024,Operations,Inventory Specialist,"$61,574.00",Excellent
00-39557077,Lisa,Spence,Male,New York,New York City,Master,25/08/1970,26/07/2015,18/12/2023,IT,Software Developer,"$103,756.00",Excellent
00-17901903,Katie,Anderson,Male,New York,New York City,Bachelor,26/12/1980,4/7/2017,29/12/2021,Operations,Logistics Coordinator,"$63,227.00",Excellent
00-54349361,Stacey,Martin,Male,New York,New York City,High School,27/03/1993,23/07/2016,,Operations,Inventory Specialist,"$63,680.00",Needs Improvement
00-99788677,Monique,Henderson,Female,New York,New York City,Bachelor,24/06/1967,24/03/2019,20/09/2019,Customer Service,Help Desk Technician,"$90,880.00",Satisfactory
00-86644106,Sarah,Campos,Female,Pennsylvania,Philadelphia,High School,8/6/1983,24/09/2020,2/9/2022,Marketing,Content Creator,"$52,954.00",Excellent
00-73481353,James,Collins,Female,New York,New York City,Bachelor,16/05/1977,18/09/2017,16/03/2018,Operations,Inventory Specialist,"$64,475.00",Good
00-23009833,Debra,Kim,Female,Pennsylvania,Allentown,PhD,27/01/1980,21/07/2022,17/01/2023,Sales,Sales Specialist,"$93,238.00",Excellent
00-65177213,Shannon,Wright,Female,Michigan,Grand Rapids,High School,4/12/2002,25/01/2019,12/12/2022,Operations,Inventory Specialist,"$58,713.00",Needs Improvement
00-97705310,Matthew,Chapman,Female,New York,New York City,Bachelor,19/09/1969,30/03/2024,26/09/2024,IT,Software Developer,"$91,896.00",Needs Improvement
00-64038913,Brianna,Smith,Male,New York,New York City,Bachelor,18/01/1974,2/10/2022,31/03/2023,Operations,Inventory Specialist,"$71,608.00",Excellent
00-35714784,Crystal,Perez,Female,New York,New York City,Bachelor,7/7/1983,18/12/2017,16/06/2018,Finance,Financial Analyst,"$71,404.00",Satisfactory
00-66623995,Anthony,Rivera,Male,New York,New York City,Bachelor,4/2/1992,19/07/2017,16/05/2021,Operations,Logistics Coordinator,"$59,423.00",Good
00-20117988,John,Caldwell,Female,New York,New York City,Bachelor,19/10/1982,25/03/2019,21/09/2019,Operations,Operations Analyst,"$64,183.00",Needs Improvement
00-16789850,Amber,Cummings,Male,New York,New York City,Master,11/7/1986,9/12/2022,7/6/2023,Operations,Operations Analyst,"$76,824.00",Excellent
00-11980765,Ashley,Kennedy,Female,New York,New York City,Bachelor,24/03/2003,31/10/2018,29/04/2019,Finance,Accountant,"$54,093.00",Satisfactory
00-64547971,Thomas,Russell,Male,New York,New York City,Bachelor,4/1/1964,6/2/2019,5/3/2021,Finance,Accountant,"$95,124.00",Needs Improvement
00-63826716,Collin,Jordan,Female,New York,New York City,Master,13/09/1965,14/06/2023,11/12/2023,Sales,Sales Specialist,"$68,345.00",Excellent
00-10289289,Robert,Shields,Female,New York,New York City,Bachelor,29/07/1978,22/01/2024,20/07/2024,Customer Service,Help Desk Technician,"$61,403.00",Good
00-71070189,Emily,Joyce,Male,New York,New York City,Bachelor,29/08/1988,8/2/2017,27/08/2023,Operations,Inventory Specialist,"$60,320.00",Good
00-84593961,Bruce,Chandler,Female,New York,New York City,High School,29/01/1966,7/11/2022,6/5/2023,Operations,Inventory Specialist,"$55,060.00",Excellent
00-35487660,Michelle,Wright,Male,New York,New York City,Master,22/07/1963,15/03/2017,6/5/2018,Operations,Operations Manager,"$82,834.00",Excellent
00-82772208,Amanda,Taylor,Female,New York,New York City,PhD,10/7/1988,12/3/2016,17/11/2016,Finance,Financial Analyst,"$76,564.00",Excellent
00-16729990,Joshua,Wright,Male,New York,New York City,Bachelor,7/10/1991,24/12/2020,30/07/2024,Finance,Accountant,"$63,056.00",Good
00-81286543,Charles,Morton,Male,New York,New York City,Bachelor,12/9/1984,29/11/2017,28/05/2018,Finance,Accountant,"$78,616.00",Satisfactory
00-34941004,Andrea,Williams,Male,New York,New York City,High School,29/04/1960,28/07/2016,,Operations,Inventory Specialist,"$57,716.00",Needs Improvement
00-41568532,Mary,Novak,Female,New York,New York City,Bachelor,12/6/1981,26/12/2019,23/06/2020,Operations,Logistics Coordinator,"$61,198.00",Satisfactory
00-87701200,Karen,Young,Male,New York,New York City,Bachelor,23/06/2001,6/6/2020,3/12/2020,IT,IT Support Specialist,"$58,331.00",Excellent
00-66267415,Todd,Lewis,Female,Ohio,Cincinnati,Bachelor,24/02/1966,5/6/2022,6/11/2024,Operations,Logistics Coordinator,"$62,398.00",Good
00-52462441,Rachel,Martin,Male,New York,New York City,Bachelor,25/08/1984,1/1/2024,29/06/2024,Sales,Sales Consultant,"$94,930.00",Excellent
00-52169044,Tricia,Baker,Female,New York,New York City,Bachelor,26/06/1998,1/11/2017,6/3/2021,Customer Service,Customer Service Representative,"$59,179.00",Good
00-96637649,Kristen,Mitchell,Male,North Carolina,Greensboro,Bachelor,16/05/1976,28/09/2017,6/2/2024,Operations,Logistics Coordinator,"$74,555.00",Good
00-19736572,Susan,Cowan,Male,New York,New York City,PhD,2/10/1989,4/8/2015,,Sales,Sales Manager,"$74,371.00",Excellent
00-23419256,Dorothy,Tucker,Female,New York,New York City,Bachelor,17/08/1990,14/03/2016,10/9/2016,Marketing,SEO Specialist,"$81,253.00",Excellent
00-45594597,Kenneth,Novak,Female,New York,New York City,High School,30/09/1988,13/08/2017,10/3/2020,Customer Service,Customer Service Representative,"$56,922.00",Needs Improvement
00-42787299,Jill,Brown,Female,New York,New York City,Bachelor,13/06/1982,2/5/2018,12/3/2020,Marketing,Content Creator,"$65,108.00",Satisfactory
00-82909480,Brian,Silva,Female,New York,New York City,Bachelor,31/10/1975,15/07/2022,11/1/2023,Operations,Logistics Coordinator,"$61,958.00",Good
00-97775215,Samantha,Schmidt,Female,New York,New York City,Bachelor,11/1/1999,23/01/2020,30/07/2022,Customer Service,Support Specialist,"$55,038.00",Good
00-84437458,Susan,Miller,Female,New York,New York City,Master,6/2/2002,14/03/2017,20/04/2023,HR,HR Coordinator,"$63,666.00",Excellent
00-28024248,Casey,Jones,Female,New York,New York City,High School,9/11/1979,1/12/2017,11/2/2021,Customer Service,Help Desk Technician,"$58,264.00",Excellent
00-84252420,Joe,Wilson,Male,New York,New York City,Bachelor,6/2/2003,12/12/2017,27/09/2022,Sales,Sales Representative,"$65,128.00",Satisfactory
00-38270233,Ashley,Riley,Male,New York,New York City,Master,5/8/1967,16/01/2022,15/07/2022,Sales,Sales Consultant,"$69,316.00",Excellent
00-95125977,Christine,Barnes,Male,New York,New York City,High School,22/10/1992,15/08/2017,11/2/2018,Operations,Inventory Specialist,"$56,431.00",Needs Improvement
00-43704923,Annette,Stewart,Male,New York,New York City,Bachelor,19/06/1997,12/4/2023,9/10/2023,Sales,Sales Representative,"$79,043.00",Good
00-95132217,James,Moran,Female,New York,New York City,Bachelor,29/10/1988,3/4/2019,3/9/2024,Marketing,Marketing Coordinator,"$59,137.00",Good
00-10475894,Joseph,Anderson,Male,New York,New York City,Bachelor,23/12/1982,8/9/2018,16/07/2019,IT,Software Developer,"$89,897.00",Good
00-45159040,Kevin,Stewart,Female,New York,New York City,Bachelor,31/08/1984,19/10/2017,2/2/2021,IT,Software Developer,"$80,501.00",Good
00-67403166,Shari,Smith,Male,Michigan,Detroit,Master,5/4/1984,29/08/2020,25/02/2021,Operations,Operations Analyst,"$83,772.00",Good
00-30005727,Yolanda,Ferrell,Male,New York,New York City,Master,5/10/1982,29/01/2020,27/07/2020,Operations,Operations Analyst,"$55,106.00",Excellent
00-84158663,Amanda,Wagner,Male,New York,New York City,Bachelor,2/10/1987,21/02/2017,,IT,Software Developer,"$88,492.00",Good
00-51373735,Sarah,Ibarra,Male,New York,New York City,High School,28/07/1976,8/12/2018,25/04/2021,Customer Service,Help Desk Technician,"$82,441.00",Needs Improvement
00-38195995,John,Mitchell,Male,Michigan,Warren,Bachelor,27/09/1962,20/06/2022,17/12/2022,Finance,Accountant,"$85,555.00",Good
00-57469942,Martha,Warner,Female,New York,New York City,Bachelor,1/8/1989,26/08/2017,22/02/2018,Sales,Sales Consultant,"$64,372.00",Satisfactory
00-30743797,Tonya,Roman,Female,Michigan,Grand Rapids,Bachelor,15/03/1971,24/07/2018,20/01/2019,Customer Service,Customer Service Representative,"$63,278.00",Good
00-31810617,Alan,Montoya,Male,Virginia,Virginia Beach,Bachelor,3/2/1998,26/04/2024,23/10/2024,Marketing,Content Creator,"$65,358.00",Needs Improvement
00-13326769,Sarah,Garcia,Male,Michigan,Grand Rapids,Bachelor,3/12/1983,8/12/2017,6/6/2018,IT,System Administrator,"$77,267.00",Good
00-65259205,Dennis,Wilson,Female,New York,New York City,Bachelor,8/3/2002,11/2/2023,10/8/2023,Sales,Sales Representative,"$51,865.00",Good
00-43308443,Julia,Moore,Male,New York,New York City,Master,23/09/1970,20/04/2017,19/12/2024,IT,System Administrator,"$92,780.00",Excellent
00-61343880,Cassandra,Robbins,Female,Pennsylvania,Allentown,Bachelor,5/5/1992,21/03/2023,17/09/2023,Customer Service,Customer Service Representative,"$52,588.00",Good
00-36786211,Grace,Farrell,Female,Michigan,Detroit,Bachelor,23/06/1972,16/07/2023,12/1/2024,Operations,Inventory Specialist,"$64,186.00",Good
00-50962024,Tracy,Whitehead,Male,New York,New York City,High School,26/05/1978,25/11/2017,23/05/2018,Operations,Inventory Specialist,"$61,124.00",Needs Improvement
00-13176186,Brent,Walters,Female,New York,New York City,High School,17/07/1982,19/11/2022,18/05/2023,HR,Recruiter,"$65,797.00",Needs Improvement
00-47393469,Joshua,Smith,Female,Illinois,Aurora,Master,25/01/2001,27/10/2023,24/04/2024,Sales,Sales Manager,"$114,050.00",Good
00-96098221,David,Whitney,Female,New York,New York City,High School,13/10/1975,3/3/2020,30/08/2020,Customer Service,Help Desk Technician,"$64,313.00",Excellent
00-81969657,Joyce,Arnold,Male,Michigan,Grand Rapids,Bachelor,11/9/1989,16/06/2018,7/4/2022,Customer Service,Support Specialist,"$63,557.00",Satisfactory
00-45059710,Ann,Rodriguez,Male,Michigan,Detroit,High School,29/11/1985,9/12/2017,12/6/2019,Operations,Inventory Specialist,"$59,128.00",Needs Improvement
00-24549543,Hannah,Hernandez,Female,New York,New York City,High School,28/02/1989,14/01/2020,12/7/2020,Customer Service,Support Specialist,"$54,770.00",Needs Improvement
00-52101056,Mary,Aguilar,Male,New York,New York City,Bachelor,4/4/2001,27/02/2019,26/08/2019,Customer Service,Support Specialist,"$64,438.00",Satisfactory
00-61700055,Russell,Williams,Female,New York,New York City,High School,19/06/1970,22/05/2023,18/11/2023,HR,Recruiter,"$58,119.00",Needs Improvement
00-15957459,Rachel,Flynn,Female,North Carolina,Raleigh,High School,21/05/1976,1/12/2022,30/05/2023,Customer Service,Help Desk Technician,"$82,922.00",Needs Improvement
00-82269803,Bill,Howard,Female,New York,New York City,Bachelor,23/02/1972,22/09/2022,21/03/2023,Marketing,Marketing Coordinator,"$74,811.00",Satisfactory
00-36445607,John,Garcia,Male,North Carolina,Greensboro,PhD,22/11/1982,30/10/2018,25/08/2021,Finance,Financial Analyst,"$93,475.00",Excellent
00-54318698,Anita,Baxter,Male,Ohio,Cleveland,High School,6/1/2002,30/08/2021,26/02/2022,Customer Service,Customer Service Representative,"$59,676.00",Needs Improvement
00-26726926,Kara,Frost,Male,New York,New York City,Bachelor,21/12/1967,2/4/2022,29/09/2022,Sales,Sales Representative,"$77,283.00",Needs Improvement
00-51511484,Michelle,Cherry,Male,New York,New York City,Bachelor,11/1/1980,11/11/2022,10/5/2023,Marketing,Content Creator,"$62,224.00",Satisfactory
00-49682169,Gregory,Gutierrez,Male,New York,New York City,Bachelor,22/02/1997,10/3/2020,6/9/2020,Operations,Logistics Coordinator,"$68,683.00",Needs Improvement
00-99245317,Jill,Cook,Female,New York,New York City,High School,18/01/1967,27/12/2018,25/06/2019,Customer Service,Customer Service Representative,"$63,830.00",Needs Improvement
00-33357554,Robert,Santiago,Male,New York,New York City,Master,9/9/1998,13/10/2021,11/4/2022,Sales,Sales Specialist,"$75,850.00",Excellent
00-83542887,Lisa,Adams,Male,New York,New York City,High School,13/12/1995,2/11/2017,30/04/2018,Customer Service,Help Desk Technician,"$82,965.00",Excellent
00-38210242,Jacqueline,Reyes,Female,New York,New York City,Bachelor,15/12/1973,16/01/2019,15/07/2019,Operations,Logistics Coordinator,"$54,011.00",Good
00-97873101,Michele,Walker,Male,New York,New York City,Bachelor,15/05/1979,14/11/2018,4/2/2022,Sales,Sales Representative,"$80,131.00",Good
00-38682516,Samantha,Bailey,Female,New York,New York City,Bachelor,12/5/2000,14/11/2020,13/05/2021,Operations,Inventory Specialist,"$55,778.00",Good
00-98429450,Laura,Perez,Male,New York,New York City,PhD,11/10/1965,10/1/2016,20/10/2021,Sales,Sales Consultant,"$88,444.00",Excellent
00-94951883,Donna,Ross,Female,New York,New York City,Bachelor,6/11/1969,19/04/2021,27/04/2022,Sales,Sales Representative,"$75,303.00",Good
00-41523529,Michelle,Rasmussen,Female,North Carolina,Greensboro,Master,23/10/1999,19/04/2022,16/10/2022,IT,Software Developer,"$98,297.00",Excellent
00-36726767,Michael,Hicks,Male,Illinois,Chicago,Bachelor,14/01/1999,21/09/2017,1/4/2024,Sales,Sales Representative,"$65,506.00",Good
00-73771720,Tina,Herrera,Male,New York,New York City,PhD,11/9/1991,11/1/2021,10/7/2021,Finance,Financial Analyst,"$86,731.00",Excellent
00-65625330,Darrell,Waller,Male,New York,New York City,Bachelor,7/12/1973,11/3/2023,7/9/2023,Sales,Sales Representative,"$78,643.00",Satisfactory
00-61536717,Beverly,Terrell,Female,Michigan,Warren,Bachelor,1/1/1976,15/01/2020,13/07/2020,Customer Service,Customer Service Representative,"$64,159.00",Good
00-98054615,Daniel,Hamilton,Male,New York,New York City,Bachelor,12/1/1982,10/10/2022,8/4/2023,Sales,Sales Representative,"$66,358.00",Good
00-67062156,Kristin,Graham,Female,Michigan,Warren,Bachelor,18/08/1982,18/07/2017,22/11/2021,Operations,Inventory Specialist,"$57,185.00",Good
00-72350830,Darrell,Lam,Female,New York,New York City,Bachelor,16/06/1993,14/03/2016,25/07/2018,IT,IT Support Specialist,"$57,924.00",Excellent
00-26288475,Jonathan,Fletcher,Female,New York,New York City,Bachelor,5/6/1971,1/1/2019,20/08/2024,Operations,Inventory Specialist,"$57,730.00",Satisfactory
00-81287314,April,Drake,Female,New York,New York City,High School,15/10/1975,23/09/2018,22/03/2019,Operations,Inventory Specialist,"$56,753.00",Needs Improvement
00-69401199,Jennifer,Harmon,Male,New York,New York City,Bachelor,5/7/1975,18/09/2021,17/03/2022,Sales,Sales Representative,"$62,015.00",Good
00-67276174,James,Reynolds,Male,New York,New York City,Bachelor,9/1/1997,15/09/2017,13/03/2018,Operations,Operations Analyst,"$82,241.00",Needs Improvement
00-31361812,Samantha,Hanson,Female,New York,New York City,PhD,24/01/1983,15/09/2022,14/03/2023,Sales,Sales Consultant,"$87,980.00",Excellent
00-44788100,Melanie,Cortez,Female,New York,New York City,Bachelor,21/02/1987,27/04/2022,24/10/2022,Sales,Sales Representative,"$68,240.00",Good
00-79967676,William,Estrada,Male,New York,New York City,Bachelor,4/3/1985,7/5/2019,24/08/2020,Operations,Operations Manager,"$109,148.00",Good
00-69038700,Richard,Phillips,Female,New York,New York City,Bachelor,4/10/2001,19/02/2016,,Operations,Operations Analyst,"$77,304.00",Satisfactory
00-46468984,James,Ortega,Male,New York,New York City,Bachelor,9/11/1980,28/05/2018,13/05/2024,Sales,Sales Specialist,"$71,634.00",Satisfactory
00-28572252,Erica,Orr,Male,New York,New York City,Bachelor,16/11/1988,28/08/2017,6/11/2022,IT,IT Support Specialist,"$73,488.00",Satisfactory
00-30509175,Ashley,Sullivan,Male,New York,New York City,High School,7/10/1982,20/11/2022,19/05/2023,Operations,Inventory Specialist,"$61,678.00",Needs Improvement
00-64707061,Aaron,Mitchell,Female,New York,New York City,Bachelor,23/05/1992,16/06/2018,13/12/2018,IT,Software Developer,"$94,594.00",Satisfactory
00-18357162,Kristi,Lawson,Male,Michigan,Detroit,Bachelor,6/2/1968,6/5/2017,,Operations,Inventory Specialist,"$76,197.00",Satisfactory
00-88393811,Steven,Ramos,Female,New York,New York City,Bachelor,16/05/1995,23/03/2024,19/09/2024,Operations,Logistics Coordinator,"$60,859.00",Satisfactory
00-87267850,William,Leon,Female,New York,New York City,High School,28/10/1997,6/11/2018,5/5/2019,Marketing,Content Creator,"$52,939.00",Needs Improvement
00-50079111,Jill,Hopkins,Male,New York,New York City,PhD,13/08/1993,21/04/2022,9/6/2024,Sales,Sales Specialist,"$62,230.00",Excellent
00-83300637,Zachary,Schultz,Male,New York,New York City,Bachelor,13/10/1998,11/5/2023,7/11/2023,IT,IT Support Specialist,"$68,297.00",Good
00-39450273,Clarence,Crane,Male,New York,New York City,High School,13/10/1999,2/4/2017,,Operations,Inventory Specialist,"$62,190.00",Needs Improvement
00-62191530,Emily,Walker,Female,North Carolina,Charlotte,Master,22/03/1960,19/03/2018,15/09/2018,IT,Software Developer,"$96,606.00",Good
00-64266464,Dylan,Williams,Male,New York,New York City,High School,7/12/1985,4/7/2022,31/12/2022,Operations,Inventory Specialist,"$55,854.00",Needs Improvement
00-93517915,Cheryl,Mack,Female,Ohio,Cleveland,Bachelor,17/09/1996,25/06/2020,22/12/2020,Customer Service,Customer Service Representative,"$54,580.00",Satisfactory
00-85751409,Robert,Soto,Female,New York,New York City,Bachelor,4/5/1998,17/03/2022,13/09/2022,Operations,Inventory Specialist,"$58,131.00",Satisfactory
00-67527432,Jennifer,Cruz,Female,Ohio,Cincinnati,Bachelor,20/07/1972,5/6/2017,17/12/2021,Operations,Inventory Specialist,"$64,260.00",Good
00-16749089,John,Douglas,Female,Michigan,Grand Rapids,High School,19/04/1996,3/1/2017,24/09/2021,Customer Service,Help Desk Technician,"$63,590.00",Needs Improvement
00-71028710,Patricia,Dalton,Female,New York,New York City,High School,4/8/1971,10/12/2018,23/05/2021,Customer Service,Customer Service Representative,"$63,956.00",Excellent
00-66581473,Daniel,Coleman,Male,Michigan,Warren,Bachelor,15/11/1983,10/3/2017,7/5/2024,Marketing,Content Creator,"$67,857.00",Good
00-12601580,Linda,Dominguez,Female,New York,New York City,Bachelor,27/01/1988,30/06/2022,27/12/2022,Customer Service,Customer Service Representative,"$53,458.00",Good
00-40094589,Brent,Wright,Male,New York,New York City,Master,2/3/1994,26/11/2022,25/05/2023,IT,System Administrator,"$68,344.00",Excellent
00-14164775,David,Anderson,Female,New York,New York City,Bachelor,27/06/1985,29/06/2024,26/12/2024,Customer Service,Customer Service Manager,"$67,027.00",Needs Improvement
00-12735359,Elizabeth,Travis,Female,New York,New York City,Bachelor,17/11/2002,20/08/2021,16/02/2022,Sales,Sales Representative,"$66,258.00",Good
00-73560289,Logan,Fischer,Male,New York,New York City,Bachelor,24/07/1971,21/06/2022,18/12/2022,Sales,Sales Representative,"$64,327.00",Satisfactory
00-72415804,Cheyenne,Ball,Male,Michigan,Grand Rapids,Bachelor,23/10/1981,16/07/2022,12/1/2023,IT,Software Developer,"$91,360.00",Good
00-91321540,Ronald,Meadows,Male,New York,New York City,Bachelor,28/10/1973,23/06/2021,20/12/2021,Marketing,SEO Specialist,"$73,844.00",Satisfactory
